,pmid_pmcid,publisher,journal_title,article_title,cost_with_vat
0,1852.505,CUP,Psychological medicine,Reduced parahippocampal cortical thickness in subjects at ultra-high risk for psychosis,0.0
1,PMC3679557,ACS,Biomacromolecules,Structural characterization of a Model Gram-negative bacterial surface using lipopolysaccharides from rough strains of escherichia coli,2381.04
2,23043264  PMC3506128 ,ACS,Journal of medicinal chemistry,"Fumaroylamino-4,5-epoxymorphinans and related opioids with irreversible ? opioid receptor antagonist effects.",642.56
3,23438330 PMC3646402,ACS,Journal of medicinal chemistry,Orvinols with mixed kappa/mu opioid receptor agonist activity.,669.64
4,23438216 PMC3601604 ,ACS,J org chem,Regioselective opening of myo-inositol orthoesters: mechanism and synthetic utility.,685.88
5,PMC3579457,ACS,Journal of medicinal chemistry,Comparative Structural and Functional Studies of 4-(Thiazol-5-yl)-2-(phenylamino) pyrimidine-5-carbonitrile CDK9 inhibitors suggest the basis for Isotype Slectivity,2392.2
6,PMC3709265,ACS,Journal of proteome research,"Mapping Proteolytic Processing in the Secretome of Gastric Cancer-Associated Myofibroblasts Reveals Activation of MMP-1, MMP-2, and MMP?3",2367.95
7,23057412 PMC3495574 ,ACS,Mol pharm,Quantitative silencing of EGFP reporter gene by self-assembled siRNA lipoplexes of LinOS and cholesterol.,649.33
8,PMCID: PMC3780468,ACS (Amercian Chemical Society) Publications,Acs chemical biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,1294.59
9,PMCID: PMC3621575,ACS (Amercian Chemical Society) Publications,Acs chemical biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,1294.78
10,PMCID: PMC3739413,ACS (Amercian Chemical Society) Publications,Journal of chemical information and modeling,Locating Sweet Spots for Screening Hits and Evaluating Pan-Assay Interference Filters from the Performance Analysis of Two Lead-like Libraries,1329.69
11,PMCID: PMC3530961,ACS (Amercian Chemical Society) Publications,Journal of medicinal chemistry,Synthesis and evaluation of ?-thymidine analogues as novel antimalarials.,1287.2
12,PMCID: PMC3624797,ACS (Amercian Chemical Society) Publications,Journal of medicinal chemistry,Discovery and structure-activity relationships of pyrrolone antimalarials.,1324.66
13, PMC3413243,ACS Publications,Biochemistry,Monomeric 14-3-3 has a chaperone-like activity and is stabilized by phosphorylated HSpB6,665.64
14,PMC3694353,ACS Publications,Journal of medicinal chemistry,Synthesis and in vitro and in vivo characterization of highly ?1-selective ?-adrenoceptor partial agonists.,1006.72
15,PMC3572711,AGA Institute,Gastroenterology,Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas,238.08
16,22610094,AMBSB,Journal of biological chemistry,Annexin-1 interaction with FPR2/ALX,265.67
17,PMCID: PMC3586974,American Association of Immunologists,Journal of immunology,Sialoadhesin ligand expression identifies a subset of CD4+Foxp3- T cells with a distinct activation and glycosylation profile.,2035.0
18,23455506  PMCID: PMC3607399 ,American Association of Immunologists,Journal of immunology,Regulation of Foxp3+ Inducible Regulatory T Cell Stability by SOCS2,3108.08
19,PMID: 24015914 PMC3833349 ,American Chemical Society,Acs chemical biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,1267.76
20,: PMC3805332 ,American Chemical Society,Acs chemical biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,2286.73
21,1852.505,American Chemical Society,Acs chemical biology,Discovery of ?2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,947.07
22,"PMCID:
    PMC3656742
",American Chemical Society,Acs chemical neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,1186.8
23,PMCID: 3584654,AMERICAN CHEMICAL SOCIETY,Acs nano,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,642.89
24,22971149 PMC3466778,American Chemical Society,American chemical society,Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA,1533.29
25,23072351,American Chemical Society,Analytical chemistry,Amphipathic polymers facilitate the study of functional membrane in the gas phase,2082.74
26,PMC3477822,American Chemical Society,Analytical chemistry,Quantitative dynamics of phosphorproteome: the devil is in the details,2314.1
27,PMC3530960,American Chemical Society,Analytical chemistry,Variable-Pitch Rectangular Cross-section Radiofrequency Coils for the Nitrogen-14 Nuclear Quadrupole Resonance Investigation of Sealed Medicines Packets,759.67
28,23458425 PMC3630740 ,American Chemical Society,Bioconjugate chemistry,"Design, synthesis and functional activity of labelled CD'ld glycoupid agonists",1565.26
29,PMID: 20146481,American Chemical Society,Journal of medicinal chemistry,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives,572.74
30,PMCID: PMC3504484,American Chemical Society,Journal of medicinal chemistry,"Design, synthesis and structure-activity relationships of highly potent 5-HT3 receptor ligands",750.66
31,PMID:23281892 PMC3579312,American Chemical Society,Journal of medicinal chemistry,A class of 5-nitro-2-furancarboxylamides with potent trypanocidal activity against Trypanosoma brucei in vitro,321.12
32,PMC3411196,American Chemical Society,Journal of proteome research,Proteomic analysis of extracellular matrix from the hepatic stellate cell line LX-2 identifies CYR61 and Wnt-5a as novel constituents of fibrotic liver,1321.88
33,PMC3593610,American Chemical Society,Journal of the american chemical society,Chemical and structural analysis of an antibody folding intermediate trapped during glycan biosynthesis,1626.14
34,23373658,American Chemical Society Publications,Acs nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",693.39
35,PMC3673662,American College of Chest Physicians,Chest,Synthetic response of stimulated respiratory epithelium: modulation by prednisolone and iKK2 inhibition,2383.94
36,"PMC3574980

",American Physiological Society,Journal of neurophysiology,Reliable evaluation of the quantal determinants of synaptic efficacy using Bayesian analysis,1276.08
37,"PMC3680818

",American Physiological Society,Journal of neurophysiology,"Responses of single corticospinal neurons to intracortical stimulation of primary motor and premotor cortex in the anesthetized macaque monkey"" (JN-01080-2012R1)",1291.02
38,"PMC3602834
",American Physiological Society,Journal of neurophysiology,Interaction of temporal and ordinal representations in movement sequences,1319.17
39,PMC3234094,American Physiological Society,Journal of neurophysiology,Endogenous modulation of low frequency oscillations by temporal expectations,1514.35
40,PMCID: PMC3653044,American Physiological Society,Journal of neurophysiology,The effect of contextual cues on the encoding of motor memories,1551.61
41,3472478,American Physiological Society,Journal of physiology,Bimodal collagen fibril diameter distributions direct age-related variations in tendon resilience and resistance to rupture,1314.58
42,"23576705, PMC3727040",American Physiological Society,The journal of neurophysiology,Integration of Texture and Disparity Cue to Surface Slant in Dorsal Visual Cortex,1276.6
43,1852.505,American Psychiatric Association,American journal of psychiatry,Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms,2351.73
44,23599091,American Psychiatric Publishing,Americal journal of psychiatry,High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression,2350.02
45,23025831 PMC3462035 ,American Psychological Association,Behavioral neuroscience,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory,3021.72
46,23731076 PMC3670620 ,American Psychological Association,Behavioral neuroscience,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats,3209.63
47,23244291 PMC3569044,American Psychological Association,Behavioral neuroscience,The Neural Basis of Nonvisual Object Recognition,3211.77
48,PMC3444304,American Psychological Association,Emotion,"Subjective responses to emotional stimuli during labeling, reappraisal, and distraction ",2534.53
49,PMID: 23477577 PMC3727344 ,American Psychological Association,Health psychology,Behavior change techniques used to promote walking and cycling: a systematic review,3188.3
50,PMC3357114,American Psychological Association,Journal of abnormal psychology,Lightening the Load: Perceptual Load Impairs Visual Detection in Typical Adults but not in Autism,2534.53
51,PMC3450431,American Psychological Association,Journal of consulting and clinical psychology,"A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis). 
",3037.86
52,23668184,American Psychological Association,Journal of experimental psychology:  animal behaviour process,Asymmetry in the Discrimination of Length During Spatial Learning,3144.24
53,"PMC3607463

",American Psychological Association,Journal of experimental psychology: human perception and performance,Collective enumeration,2659.32
54,23421830 PMC3576129 ,American Psychological Association,Journal of family psychology,The nature of nuture:  Disentangling passive geneotype-environment correlation from family relationship influences on children's externalising problems,3092.18
55,PMC3437796,American Psychological Association,Psychological assessment,The factor structure of the autobiographical memory test in recent trauma survivors,2973.32
56,PMC3444305,American Psychological Association,Psychological review,Generalization through the recurrent interaction of episodic memories: a model of the hippocampal system,2534.53
57,PMC3444173,American Psychological Association,"Psychological trauma: theory research, practice and policy",Investigating cognitive pathways to psychopathology: predicting depression and posttraumatic stress disorder from early responses after assault,2973.32
58,PMC3725889,American Psychological Association ,Journal of experimental psychology: human perception and performance,Dissociable Roles of Different Types of Working Memory Load in Visual Detection,2561.4
59,PMID: 23409903 23409903,American Public Health Association,American journal of public health,Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area,1422.25
60,PMC3576085,American Soc for Biochemistry and Molecular Biology,Journal of biological chemistry,Understanding how noncatalytic carbohydrate binding modules can display specificity for xyloglucan,1100.0
61,23239883 PMC3561570 ,American Society for Biochemistry and Molecular Biolgy,Journal of biological chemistry,"Molecular architecture and functional analysis of NetB, a pore-forming toxin from Clostridium perfringens",2259.64
62,PMC3481300,American Society for Biochemistry and Molecular Biology,J biol chem,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932,1487.46
63,PMC3234852,American Society for Biochemistry and Molecular Biology,J biol chem,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.,1531.08
64,PMCID: PMC3642348,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Human and viral golgi anti-apoptotic protein (GAAP) oligomerize via different mechanisms and monomeric GAAP inhibits apoptosis and modulates calcium,1019.71
65,PMID: 22992744  PMC3493908,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Dynamic exchange of myosin VI on endocytic structures,1119.61
66,PMCID: PMC3531748,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,"Uncoupling proteostasis and development in vitro with a small molecule inhibitor of the pancreatic endoplasmic reticulum kinase, PERK",1131.01
67,"PMCID: PMC3436574
",American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Structural Requirements for Recognition of Major Histocompatibility Complex Class II by Membrane-associated RING-CH (MARCH) Protein E3 Ligases,1137.51
68,PMID: 23223336 PMC3543027 ,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Visualization of structural changes accompanying activation of NMDA receptors using fast-scan AFM imaging,1152.72
69,PMCID: PMC3795252,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,SLP-76 sterile alpha motif (SAM) and individual H alpha helix mediates oligomer formation for microclusters and T-cell activation,1160.09
70,PMCID: PMC3724652,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,?-Amino-3-hydroxy-5-methyl-4-isoxazole propionic acid (AMPA) and N-methyl-D-aspartate (NMDA) receptors adopt different subunit arrangements.,1166.85
71,"PMCID:
    PMC3597794
",American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure ,1261.44
72,PMC3522294,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation,1276.08
73,PMC3774408,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,"P2X receptor chimeras highlight roles of the amino terminus to partial agonist efficacy, the carboxyl terminus to recovery from desensitization, and independent regulation of channel transitions",1540.0
74,PMC3610987,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Caspase inhibitors protect neurons by enabling selective necroptosis of inflamed microglia,1586.36
75,3610976,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,"Estrogen receptor á mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor â",1664.94
76,"PMC3696691

",American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,ZINC-INDUCED SELF-ASSOCIATION OF COMPLEMENT C3b AND FACTOR H: IMPLICATIONS FOR INFLAMMATION AND AGE-RELATED MACULAR DEGENERATION,1743.84
77,23344959  PMC3585060 ,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,ca2+ signalling through catsper and ca2+ stores regulate different behaviours in human sperm,2501.07
78,PMCID: PMC3481303,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,The sigma-1 receptor binds to the Nav1.5 voltage gated Na+ channel with four-fold symmetry,955.0
79,"PMCID:
    PMC3789947",American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Mechanism for Recognition of an Unusual Mycobacterial Glycolipid,969.68
80,PMCID: PMC3663556 ,American Society for Biochemistry and Molecular Biology ,The journal of biological chemistry,Endomembrane HRas controls vascular endothelial growth factor-induced nitric oxide synthase-mediated endothelial cell migration,1166.6
81,3947303,American Society for Investigative Pathology,American journal of pathology,Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling,995.31
82,PMID: 23856774 PMC3811480 ,American Society for Microbiology,Antimicrobial agents and chemotherapy,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis,1287.19
83,PMCID: PMC3553740,American Society for Microbiology,Antimicrobial agents and chemotherapy,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation,1287.2
84,PMID:23817378  PMCID: PMC3754341,American Society for Microbiology,Antimicrobial agents and chemotherapy,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations,1521.66
85,23877697,American Society for Microbiology,Antimicrobial agfents and chemotherapy,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA,3750.05
86,PMCID: PMC3675966 ,American Society for Microbiology,Clinical and vaccine immunology,The Alveolar Microenvironment of patients infected with Human immunodeficiency virus does not modify alveolar macrophage interactions with Streptococcus pneumoniae,743.85
87,PMC3697472,American Society for Microbiology,Eukaryotic cell,"Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus.",1653.18
88,PMC3571300,American Society for Microbiology,Eukaryotic cell,Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes,2316.16
89,PMID:22988015 PMC3497410 ,American Society for Microbiology,Infection and immunity,Dectin-1 is not required for controlling Candida albicans colonisation of the murine gastrointestinal tract,1910.82
90,PMC in progress,American Society for Microbiology,Infection and immunity,Analysis of antibodies to newly described plasmodium falciparum merozoite antigens supports ...,2034.0
91,PMCID: PMC3497412,American Society for Microbiology,Infection and immunity,Progressive cross-reactivity in IgE responses: an explanation for the slow development of human immunity to schistosomiasis,2249.43
92,PMC3754575,American Society for Microbiology,Journal of bacteriology,The agr locus sregulates virulence and colonization genes in clostridium difficile 027,1343.82
93,1852.505,American Society for Microbiology,Journal of virology,The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53,1312.59
94,PMID: 23152534 PMC3554137,American Society for Microbiology,Journal of virology,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)",1549.44
95,"PMCID:
    PMC3648151
",American Society for Microbiology,Journal of virology,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins,1585.64
96,"PMCID:
    PMC3518918

",American Society for Microbiology,Mbio,EspZ of enteropathogenic and enterohemorrhagic E. coli regulates type III secretion system protein translocation,1586.75
97,PMCID: PMC3624257,American Society for Microbiology,Molecular and cellular biology,The mouse cytosine-5 RNA methyltranferase Nsun2 is a component of the chromatoid body and required for testis differentiation,2363.45
98,"PMCID:
    PMC3697669",American Society for Microbiology ,Journal of clinical microbiology,Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak],1503.47
99,"PMCID:
    PMC3554100
    [Available on 2013/7/1]","American Society for Microbiology 
",Journal of virology,"Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells 
",1871.85
100,1852.505,American Society for Nutrition,American society for nutrition,The association between breastfeeding and HIV on postpartum maternal weight changes over 24 months in rural South Africa,45.94
101,1852.505,American Society of Haematology,Blood,Disease-associated missense mutations in the EVH1 domain disrupt intrinsic WASp function causing dysregulated actin dynamics and impaired dendritic cell migration,1260.26
102,1852.505,American Society of Haematology,Blood,SAP gene transfer restores cellular and humoral immune function in a murine model of X-linked lymphoproliferative disease,1260.26
103,23255554 PMC3653566 ,American Society of Hamatology,Blood journal 2012,Peptide Length Determines the Outcome of T Cell Receptor/Peptide-MHCI Engagement,1597.98
104,1852.505,American Society of Hematology,Blood,Super-resolution imaging of remodeled synaptic actin reveals different synergies between NK cell receptors and integrins.,1230.4
105,PMC3501641,American Society of Hematology,Blood,Induction of IL-4Ra-dependent microRNAs identifies PI3K/Akt signaling as essential for IL-4-driven murine macrophage proliferation in vivo,1288.14
106,PMCID: PMC3596968,American Society of Hematology,Blood,Siglec-E is a negative regulator of acute pulmonary neutrophil inflammation and suppresses CD11b ?2-integrin-dependent signaling,1340.75
107,23002116 PMC3790949 ,American Society of Hematology,Blood,Evaluation of participants with suspected heritable platelet function disorders including recommendation and validation of a streamlined agonist panel.,1527.2
108,"PMCID:
    PMC3689249",American Society of Hematology,Blood,Characterization of a novel NKG2D and NKp46 double-mutant mouse reveals subtle variations in the NK cell repertoire,1543.44
109,23043070 PMC3790942 ,American Society of Hematology,Blood journal 2012,Epidermis instructs skin homing receptor expression in human T cells,1578.43
110,PMC3397259,American Society of Human Genetics (Elsevier),The american journal of human genetics,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates,2181.09
