City,Population,Violent_Crime,Murder,Rape (Rev),Rape(Legal),Robbery,Agg Assault,Property_Crime,Burglary,Larceny,Vehicle Theft,Arson
Adams Village,1851,0,0,,0,0,0,11,1,10,0,0
Addison Town and Village,2568,2,0,,0,1,1,49,1,47,1,0
Afton Village,820,0,0,0,,0,0,1,0,1,0,0
Akron Village,2842,1,0,,0,0,1,17,0,17,0,0
Albany,98595,802,8,54,,237,503,3888,683,3083,122,12
Albion Village,5872,26,0,3,,2,21,204,41,159,4,0
Alexandria Bay Village,1107,0,0,0,,0,0,7,2,5,0,0
Alfred Village,4032,11,1,1,,0,9,30,6,24,0,0
Altamont Village,1723,1,0,0,,0,1,2,2,0,0,0
Amherst Town,118860,128,1,16,,43,68,2066,176,1846,44,2
Amity Town and Belmont Village,2250,0,0,0,,0,0,0,0,0,0,0
Amityville Village,9509,12,0,,0,11,1,198,10,175,13,1
Amsterdam,18099,27,0,,0,15,12,490,107,370,13,3
Angelica Village,846,1,0,0,,0,1,6,4,2,0,0
Arcade Village,2030,0,0,,0,0,0,25,7,18,0,0
Ardsley Village,4561,1,0,,0,0,1,25,6,19,0,
Asharoken Village,656,0,0,,0,0,0,6,0,4,2,0
Attica Village,2502,0,0,,0,0,0,12,0,12,0,2
Avon Village,3333,2,0,0,,1,1,14,1,11,2,0
Baldwinsville Village,7485,2,0,1,,0,1,65,1,60,4,0
Ballston Spa Village,5470,8,0,0,,2,6,73,21,51,1,0
Batavia,15223,71,0,17,,12,42,599,115,476,8,3
Bath Village,5703,14,0,3,,3,8,148,21,126,1,1
Beacon,14330,43,0,3,,17,23,245,38,201,6,0
Bedford Town,17782,2,0,1,,0,1,123,12,109,2,1
Bethlehem Town,34653,34,0,7,,6,21,454,58,385,11,3
Binghamton,46229,305,1,49,,82,173,2048,343,1653,52,5
Black River,1392,0,0,,0,0,0,3,1,2,0,0
Blooming Grove Town,11960,8,0,0,,2,6,86,18,59,9,0
Bolton Town,2321,0,0,,0,0,0,9,3,6,0,0
Boonville Village,2053,1,0,,0,0,1,10,0,10,0,0
Brant Town,2063,1,0,,0,0,1,21,9,12,0,0
Brewster,2349,0,0,,0,0,0,9,2,6,1,0
Briarcliff Manor Village,8060,2,0,,0,0,2,17,4,13,0,0
Brighton Town,36884,26,0,4,,8,14,854,75,754,25,0
Brockport Village,8405,10,0,1,,1,8,128,23,104,1,1
Bronxville Village,6421,2,0,,0,2,0,25,5,20,0,0
Brownville Village,1162,0,0,,0,0,0,5,1,4,0,0
Buffalo,258419,3174,60,174,,1277,1663,12449,3119,8362,968,
Cairo Town,6548,3,0,0,,0,3,55,13,41,1,0
Cambridge Village,1844,1,0,0,,0,1,32,5,27,0,0
Camden Village,2214,2,0,,0,0,2,35,4,31,0,0
Camillus Town and Village,24307,13,0,,0,3,10,470,35,429,6,0
Canajoharie Village,2168,1,0,,0,0,1,12,2,10,0,0
Canandaigua,10452,48,0,18,,2,28,301,56,237,8,1
Canastota Village,4704,8,0,1,,1,6,75,8,64,3,0
Canisteo Village,2236,1,0,,0,0,1,9,2,7,0,2
Canton Village,6820,1,0,0,,0,1,33,3,30,0,1
Carmel Town,34463,12,0,0,,2,10,206,42,159,5,1
Carroll Town,3461,4,0,,0,0,4,4,0,4,0,0
Carthage Village,3710,3,0,1,,0,2,62,14,44,4,0
Cattaraugus Village,975,1,0,,0,0,1,2,1,1,0,0
Cayuga Heights Village,3787,2,1,0,,1,0,38,15,23,0,0
Cazenovia Village,2760,2,0,2,,0,0,41,6,35,0,0
Central Square Village,1839,4,0,,0,1,3,40,5,34,1,0
Centre Island Village,411,0,0,0,,0,0,2,0,2,0,0
Chatham Village,1721,0,0,,0,0,0,9,0,9,0,0
Cheektowaga Town,78209,202,1,25,,66,110,2699,300,2324,75,8
Chester Town,7958,3,0,1,,1,1,22,0,20,2,0
Chester Village,3914,6,0,0,,3,3,108,8,98,2,0
Chittenango Village,5031,1,0,0,,0,1,42,9,33,0,0
Cicero Town,29671,19,0,2,,4,13,477,54,417,6,0
Clarkstown Town,81435,73,1,13,,26,33,1458,83,1348,27,2
Clayton Village,2027,0,0,0,,0,0,2,0,2,0,0
Clyde Village,2031,2,0,1,,1,0,38,9,28,1,0
Cobleskill Village,4488,0,0,,0,0,0,151,13,137,1,0
Coeymans Town,7441,20,1,,0,3,16,63,14,44,5,0
Cohoes,16202,42,0,4,,12,26,225,51,153,21,7
Colonie Town,78717,72,0,5,,37,30,2010,187,1786,37,9
Cooperstown Village,1830,0,0,0,,0,0,12,1,9,2,0
Corning,11041,38,0,2,,4,32,342,48,289,5,0
Cornwall-on-Hudson Village,2964,2,0,,0,0,2,23,3,20,0,0
Cornwall Town,9527,0,0,0,,0,0,47,9,38,0,0
Coxsackie Village,2742,2,0,1,,0,1,8,2,5,1,1
Crawford Town,9240,11,0,0,,0,11,79,18,61,0,2
Croton-on-Hudson Village,8238,3,0,0,,0,3,43,3,40,0,0
Deerpark Town,7750,8,0,1,,3,4,126,33,91,2,0
Delhi Village,3028,5,0,0,,1,4,42,10,30,2,0
Depew Village,15200,15,0,5,,4,6,251,42,207,2,0
Dewitt Town,22682,20,0,,0,7,13,685,97,577,11,0
Dexter Village,1114,0,0,,0,0,0,9,1,8,0,0
Dobbs Ferry Village,11102,3,0,,0,1,2,96,11,81,4,2
Dolgeville Village,2173,2,0,0,,0,2,32,7,25,0,0
Dryden Village,2134,1,0,1,,0,0,80,13,64,3,1
Dunkirk,12275,44,0,2,,13,29,241,44,194,3,0
Durham Town,2689,1,0,0,,0,1,4,0,4,0,0
East Aurora-Aurora Town,13790,8,0,1,,3,4,128,14,111,3,5
Eastchester Town,19965,6,0,,0,2,4,140,25,112,3,0
